File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_037025_20140808_4022359_100000_1407520756024.tif,1.29
LANDSAT_LC08_C02_T1_LC08_042018_20180315_406QLD0_100000_1521138414547.tif,0.1
LANDSAT_LC08_C02_T1_LC08_057014_20171116_2201401_100000_1510862322015.tif,0.75
LANDSAT_LC08_C02_T1_LC08_043018_20220605_2202203_100000_1654454015461.tif,0.01
LANDSAT_LC08_C02_T1_LC08_044018_20140302_2202203_100000_1393785618048.tif,0.45
LANDSAT_LC08_C02_T1_LC08_041018_20160403_406QLD0_100000_1459707648863.tif,0.01
LANDSAT_LC08_C02_T1_LC08_037024_20210710_4022359_100000_1625939924667.tif,0.05
LANDSAT_LC08_C02_T1_LC08_057014_20180204_2201401_100000_1517774299414.tif,2.43
LANDSAT_LC08_C02_T1_LC08_043018_20161213_2202203_100000_1481654028586.tif,2.59
LANDSAT_LC08_C02_T1_LC08_037024_20200909_4022359_100000_1599674342929.tif,0.47
LANDSAT_LC08_C02_T1_LC08_044018_20220103_2202203_100000_1641235197404.tif,0.59
LANDSAT_LC08_C02_T1_LC08_057014_20150316_2201401_100000_1426535883262.tif,0.67
LANDSAT_LC08_C02_T1_LC08_037024_20170731_4022359_100000_1501523927789.tif,2.18
LANDSAT_LC08_C02_T1_LC08_041025_20140225_3031092_100000_1393352680115.tif,0.01
LANDSAT_LC08_C02_T1_LC08_042024_20151017_3031092_100000_1445106585629.tif,0.12
LANDSAT_LC08_C02_T1_LC08_049019_20170329_1192948_100000_1490814636137.tif,0.89
LANDSAT_LC08_C02_T1_LC08_042018_20220121_406QLD0_100000_1642789652076.tif,0.05
LANDSAT_LC08_C02_T1_LC08_058014_20211017_2201401_100000_1634501104200.tif,1.64
LANDSAT_LC08_C02_T1_LC08_049019_20171210_1192948_100000_1512933069440.tif,2.64
LANDSAT_LC08_C02_T1_LC08_057014_20181103_2201401_100000_1541275102923.tif,0.16
LANDSAT_LC08_C02_T1_LC08_043018_20200530_2202203_100000_1590863580661.tif,0.02
LANDSAT_LC08_C02_T1_LC08_058013_20210408_2201401_100000_1617912238723.tif,0.03
LANDSAT_LC08_C02_T1_LC08_047023_20150513_1096631_100000_1431543555530.tif,4.25
LANDSAT_LC08_C02_T1_LC08_037024_20130821_4022359_100000_1377108052247.tif,4.7
LANDSAT_LC08_C02_T1_LC08_058014_20180331_2201401_100000_1522526645641.tif,3.64
LANDSAT_LC08_C02_T1_LC08_058013_20140405_2201401_100000_1396728264678.tif,0.0
LANDSAT_LC08_C02_T1_LC08_044018_20191127_2202203_100000_1574880001852.tif,0.12
LANDSAT_LC08_C02_T1_LC08_041018_20150127_406QLD0_100000_1422382867454.tif,0.17
LANDSAT_LC08_C02_T1_LC08_044018_20131110_2202203_100000_1384108886863.tif,2.21
LANDSAT_LC08_C02_T1_LC08_042024_20180331_3031092_100000_1522520951386.tif,0.36
LANDSAT_LC08_C02_T1_LC08_042018_20180110_406QLD0_100000_1515608846277.tif,4.39
LANDSAT_LC08_C02_T1_LC08_048023_20170914_1096631_100000_1505415991586.tif,3.35
LANDSAT_LC08_C02_T1_LC08_041019_20220303_406QLD0_100000_1646331694840.tif,0.01
LANDSAT_LC08_C02_T1_LC08_058013_20160222_2201401_100000_1456171448290.tif,0.09
LANDSAT_LC08_C02_T1_LC08_058013_20171107_2201401_100000_1510085071456.tif,0.88
LANDSAT_LC08_C02_T1_LC08_042018_20140320_406QLD0_100000_1395340066204.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041019_20180409_406QLD0_100000_1523298056356.tif,0.01
LANDSAT_LC08_C02_T1_LC08_041018_20200414_406QLD0_100000_1586888446420.tif,2.71
LANDSAT_LC08_C02_T1_LC08_044018_20150321_2202203_100000_1426963156177.tif,0.9
